Y,log,BIC,AIC,ridge,lasso,elast,arbre,foret
1,0.604992849382068,0.4351569842312248,0.4351569842312248,0.5073074563591848,0.514135094184976,0.514628232614824,1.0,0.98
1,0.9785140754609567,0.9330409224071788,0.9363195458294101,0.9610275833304595,0.9703654754842679,0.9707421274744994,1.0,1.0
1,0.9999996189545164,0.9992963569187674,0.9992963569187674,0.9999666779657764,0.9999727618303764,0.9999855537131159,1.0,0.96
1,0.7575637185529261,0.44082848959620596,0.7598147709792121,0.6869917835577121,0.728096485509126,0.7226388163361012,0.0,0.87
1,0.757520587128274,0.44082848959620596,0.7598147709792121,0.6869107493930663,0.7280295254695142,0.7225793412022162,0.0,0.87
1,0.6997150713157698,0.4302047521117806,0.650619053995158,0.6888897388679501,0.687163317461011,0.6819306715573353,0.4,0.71
1,0.6901449512963944,0.4302047521117806,0.503518352954358,0.6897264525725971,0.7057936974907689,0.7150603894638093,0.5,0.74
1,0.6257682428534327,0.6784406136931168,0.6784406136931168,0.6280099285290716,0.6160174995835016,0.6162845941592047,0.0,0.45
1,0.9999996389269719,0.5053828691087227,0.9664218044906518,0.9995730076746405,0.9999899615842761,0.9999383163448916,1.0,0.99
1,0.9120917621030216,0.9186539605700652,0.9186539605700652,0.8374051099651518,0.862463367370624,0.8653088974283959,1.0,0.95
1,0.6715739944406457,0.44082848959620596,0.901430566315283,0.7215571583371485,0.6480790938298102,0.6448695950439586,1.0,0.775
1,0.549817109572463,0.6432454463120157,0.6432454463120157,0.5326426007623295,0.5438929125825265,0.5416418820911012,1.0,0.84
1,0.612273458739476,0.47423354321083094,0.39880596510293526,0.5526514379574136,0.5712137508034808,0.5714123879346256,1.0,1.0
1,0.7188520314703077,0.44082848959620596,0.8814038939495289,0.7536447546056609,0.7407161544561757,0.7398409895121101,1.0,0.675
1,0.9977554514744227,0.949251565401555,0.9990147335866281,0.9945636647489581,0.9977695676521042,0.9979533170372761,1.0,0.9
1,0.99139476134186,0.9371486316114219,0.9371486316114219,0.9594960235226143,0.9816060830594268,0.9800793367580143,1.0,0.94
1,0.6658289634999672,0.44082848959620596,0.4237777723861519,0.575915857171541,0.59591571975453,0.5942909990664776,1.0,0.99
1,0.9985056594333119,0.9839440331736202,0.9812159550130366,0.982936623763608,0.986956226472831,0.9901111096914994,1.0,0.92
1,0.6560068054038523,0.4950013504758755,0.46901529170285106,0.6528351975515513,0.6459575629593852,0.6435976154831171,1.0,0.96
1,0.9997647857604215,0.9243367535200784,0.9243367535200784,0.9984888851932233,0.99915229038516,0.9992598870312757,1.0,0.87
1,0.23983464710377222,0.44082848959620596,0.24868273970202978,0.20843561422845774,0.22147664516423532,0.21768364435991058,0.8888888888888888,0.46
1,0.984003821656522,0.7345606863327702,0.7345606863327702,0.9112632663726444,0.938620338370064,0.9389400296415308,1.0,0.96
1,0.9606992805534571,0.9674812390169536,0.9674812390169536,0.8451724147588355,0.9542345078473861,0.942635610190187,1.0,0.99
1,0.7212570492048125,0.6910065116580375,0.6910065116580375,0.6492945660225187,0.7455275641324913,0.7306803722713254,1.0,0.67
1,0.24560923117277328,0.4302047521117806,0.15465997776252072,0.23262685324132426,0.2505920431031691,0.2446557663510473,1.0,0.98
1,0.9663046131432784,0.5274418454533928,0.9859513625726106,0.9225103920426512,0.9461721457770057,0.9351134337311712,1.0,0.94
1,0.22788777993189657,0.44082848959620596,0.5165276722680161,0.19494213014203218,0.20097327890548664,0.19844332287997982,1.0,0.98
1,0.9995197027192704,0.9962453145440158,0.9962453145440158,0.9996450989873301,0.9997850821596428,0.9997982130576827,1.0,0.73
1,0.9352743837965616,0.44082848959620596,0.977596942382412,0.7444157810027324,0.9148525175748713,0.9075373057246755,0.4,0.92
1,0.9997714762595603,0.44082848959620596,0.9999998231709888,0.998599591314661,0.9993247253927185,0.9991086290765141,1.0,0.92
