Y,log,BIC,AIC,ridge,lasso,elast,arbre,foret,gbm1,gbm2,gbms1,gbms2
1,0.741915702805881,0.6886292164905725,0.6886292164905725,0.6774119921444127,0.5983505280220415,0.6050836502505936,1.0,0.8,0.6244600539094206,0.7694906499390438,0.6427872888761093,0.7694906499390438
1,0.29227259210002465,0.3623613921093594,0.3334705158247939,0.3167758316745968,0.37268738066131635,0.3579476663318,0.0,0.32,0.2937932421012612,0.3589619405645676,0.4274298033208382,0.3589619405645676
0,0.2505125191891776,0.3133046911324994,0.2296236622836356,0.2856693712942396,0.31399452076602197,0.2968456921803769,0.6666666666666666,0.14,0.20094164016146568,0.16598653538790506,0.1750121877270296,0.16598653538790506
1,0.718668893519901,0.7195322199913671,0.6806531174231373,0.6790723281629626,0.6956758005206162,0.6815118678265984,1.0,0.72,0.6566169561416674,0.7534306507774766,0.6671928327459717,0.7534306507774766
1,0.7125184099839149,0.7109297140222284,0.7109297140222284,0.649601033005211,0.5187083046385568,0.5353225296265471,0.4,0.4,0.4707448985610693,0.3703343407010628,0.46721344510544516,0.3703343407010628
0,0.6330391058661367,0.6394244250349549,0.6394244250349549,0.6030500087420818,0.5668450901062212,0.6101480680853536,1.0,0.56,0.3465748316522579,0.4066012585985926,0.5774263688354737,0.4066012585985926
0,0.24248818894997068,0.20044835753236528,0.25044339831378853,0.24731614827759946,0.24191538356724065,0.24227456297645178,0.2222222222222222,0.21,0.2049857519754535,0.2667170882287422,0.18569895471777575,0.2667170882287422
1,0.5745034424079226,0.6810867681538707,0.6498689177345033,0.4938314423807268,0.5541431757623894,0.5515928771405819,1.0,0.49,0.5647710793299284,0.5224711318836529,0.3808993626467277,0.5224711318836529
0,0.1349180514838171,0.14973609164357146,0.1514141385922657,0.17360836706481048,0.1556777665902425,0.17083704468222122,0.0,0.14,0.10516407804638801,0.09052650066721472,0.1268528038742548,0.09052650066721472
1,0.6279245506931811,0.6608051155887509,0.6608051155887509,0.5568718408283966,0.4572792196858448,0.46144958138206427,0.625,0.6,0.689059892237496,0.6978803044655557,0.5128519733839624,0.6978803044655557
1,0.6135897271544508,0.5367491020813371,0.5367491020813371,0.5595401138269221,0.38818142402255396,0.3838819721999108,0.625,0.55,0.6220134890221369,0.6488486630163518,0.6170376605504825,0.6488486630163518
1,0.659048255463036,0.6509601959429766,0.6509601959429766,0.6020452644063435,0.5119634407017554,0.5344087046648777,0.0,0.46,0.47437097725130145,0.38230413888961895,0.42397301083520816,0.38230413888961895
0,0.037542309994267296,0.03684943240235005,0.03997267118948956,0.06261620880793703,0.04763134003785126,0.056815279548979525,0.0,0.01,0.04143309618760847,0.07213382285824758,0.10263560507612125,0.07213382285824758
0,0.028369046855402365,0.027572277597149003,0.027572277597149003,0.07260232271703551,0.08592854210527612,0.07743481788880073,0.0,0.03,0.06933250467831817,0.0656461969491505,0.11489778102443506,0.0656461969491505
0,0.5245631387499841,0.6878709440131872,0.5980015725399095,0.46900588034120827,0.5210524209926809,0.5324736482769687,1.0,0.52,0.6463228687712472,0.7297104247687699,0.6836054349650773,0.7297104247687699
