Y,log,BIC,AIC,ridge,lasso,elast
1,0.7419157028058814,0.0,0.0,0.6754630140624333,0.5870627376079455,0.5977799581979741
1,0.292272592100025,0.0,0.0,0.3209456997144475,0.3732654775338956,0.3580883951927655
0,0.25051251918917694,0.0,0.0,0.28615584982632525,0.31631543732713713,0.29650996735803353
1,0.718668893519901,0.0,0.0,0.6760792925219818,0.6944430310270592,0.6815933874664287
1,0.7125184099839149,0.0,0.0,0.6414087504713765,0.5177238251670732,0.5371665917714807
0,0.6330391058661369,0.0,0.0,0.6025178354266439,0.5685816011296416,0.6100387793251572
0,0.24248818894997015,0.0,0.0,0.247379130302224,0.24347083501979525,0.24232283569603064
1,0.5745034424079217,0.0,0.0,0.49271934572013854,0.5510245492422636,0.5521089538263357
0,0.134918051483817,0.0,0.0,0.17601651709005656,0.15706351539993418,0.17074908048747514
1,0.6279245506931808,0.0,0.0,0.5494930289074133,0.4568241870064944,0.463287414520175
1,0.6135897271544507,0.0,0.0,0.5538860544120223,0.3884284922211839,0.38507258951580503
1,0.6590482554630365,0.0,0.0,0.599588757679371,0.494924756284262,0.5262217569815406
0,0.03754230999426728,0.0,0.0,0.06452272169763501,0.04827439089462211,0.0567642708505345
0,0.028369046855402327,0.0,0.0,0.0731599672789485,0.07729380186558638,0.08918939522159487
0,0.5245631387499843,0.0,0.0,0.46907549143479726,0.5246209787283436,0.5326452794082132
0,0.21765289255939618,0.0,0.0,0.2531399779705269,0.3665398315587191,0.23029492832829226
0,0.8700815855528812,0.0,0.0,0.7558284968461884,0.6771076832102552,0.6985457973089989
1,0.9003733624884944,0.0,0.0,0.820712501314599,0.7775817465965699,0.8155456765865541
1,0.786750826412778,0.0,0.0,0.7003742984588248,0.6708354712999128,0.6967588963161568
1,0.7194388705424296,0.0,0.0,0.6551455485958203,0.667588430297979,0.6505664125377043
1,0.07928411333015116,0.0,0.0,0.09700307890168534,0.12284665248062253,0.08358990421559771
