Y,log,BIC,AIC,ridge,lasso,elast,arbre,foret
1,0.7419157028058813,0.6886292164905725,0.6886292164905725,0.6774119921444127,0.5983536583125003,0.6050993295150429,1.0,0.76
1,0.2922725921000248,0.3623613921093594,0.3334705158247937,0.3167758316745968,0.3726867655514861,0.3579567017064497,0.0,0.25
0,0.25051251918917744,0.31330469113249965,0.2296236622836356,0.2856693712942396,0.31399822104049996,0.2968435587850539,0.6666666666666666,0.13
1,0.7186688935199013,0.7195322199913673,0.680653117423137,0.6790723281629626,0.6956811174851346,0.6815150355901489,1.0,0.79
1,0.7125184099839149,0.7109297140222284,0.7109297140222284,0.649601033005211,0.518716523380914,0.5353422794454918,0.4,0.45
0,0.6330391058661369,0.6394244250349547,0.6394244250349547,0.6030500087420818,0.5668207991704827,0.61015098906694,1.0,0.61
0,0.24248818894997032,0.20044835753236556,0.25044339831378887,0.24731614827759946,0.2419134286210976,0.2422737942180716,0.2222222222222222,0.27
1,0.574503442407922,0.6810867681538709,0.6498689177345036,0.4938314423807268,0.5541585913326089,0.551585600810474,1.0,0.44
0,0.134918051483817,0.14973609164357146,0.1514141385922656,0.17360836706481048,0.15568463103332833,0.17083325156943419,0.0,0.06
1,0.6279245506931806,0.6608051155887511,0.6608051155887511,0.5568718408283966,0.4572878249907955,0.4614573428038846,0.625,0.48
1,0.6135897271544505,0.5367491020813373,0.5367491020813373,0.5595401138269221,0.3881649335415609,0.3839003690074369,0.625,0.45
1,0.6590482554630365,0.6509601959429766,0.6509601959429766,0.6020452644063435,0.511964586397073,0.5344254163501228,0.0,0.49
0,0.03754230999426725,0.036849432402350085,0.0399726711894895,0.06261620880793703,0.047630453796286276,0.056812764384640925,0.0,0.01
0,0.028369046855402348,0.027572277597148954,0.027572277597148954,0.07260232271703551,0.08592265944263168,0.07742671360735875,0.0,0.02
0,0.5245631387499845,0.6878709440131868,0.5980015725399099,0.46900588034120827,0.5210485970298838,0.5324658025440665,1.0,0.52
0,0.21765289255939665,0.42542432201414165,0.24516802048970787,0.2531599410763246,0.3676619977708974,0.22993697019502823,0.0,0.18
0,0.8700815855528808,0.843700941284216,0.843700941284216,0.7592443101123587,0.6978848382109069,0.7080419641443972,0.5714285714285714,0.43
1,0.9003733624884944,0.9100567086458597,0.9003641719705187,0.8219010637097871,0.7870582453155529,0.8149837055448678,0.4,0.83
1,0.7867508264127785,0.7788706188864662,0.7929104494091453,0.7014543818294317,0.6779416695547622,0.6962032337724002,1.0,0.53
1,0.7194388705424296,0.7756148738900228,0.7756148738900228,0.6559538974506847,0.6533562539229792,0.6666490642658719,0.6,0.64
1,0.07928411333015126,0.07220212713679719,0.0819450559205495,0.09706891059878282,0.12778382630755797,0.08346372405175984,0.625,0.29
0,0.38213421198360503,0.4000164119127293,0.3859824293770403,0.39289294822357534,0.38895622385074385,0.39020318694216394,0.0,0.23
0,0.677824273124509,0.5988335375337832,0.633694263141528,0.5941051470052401,0.6055947835991743,0.5742492873957363,0.8333333333333334,0.64
0,0.26662263381693474,0.29413195189354413,0.29413195189354413,0.2750753029470147,0.3260058485296958,0.3143274229176539,0.8333333333333334,0.45
0,0.6107231640804426,0.618078156305744,0.618078156305744,0.5796054228095926,0.5555311879246198,0.5944882701791232,1.0,0.66
1,0.7586146976824558,0.7076252906893101,0.7076252906893101,0.7028643001576096,0.6239266979682381,0.7143195432766812,0.8,0.66
0,0.39302721575441046,0.5480539198408676,0.5480539198408676,0.4195974848425726,0.4823380900863259,0.4316686169701,0.0,0.61
1,0.6478619334798567,0.590045108116954,0.590045108116954,0.5623034777113335,0.4588726713730268,0.4611209502104165,1.0,0.71
0,0.646653051148814,0.6732003513227411,0.6494372198227257,0.5831647176113498,0.5809093528848122,0.5907922496876714,1.0,0.64
1,0.4254644137626332,0.49130339520550337,0.49130339520550337,0.4149150938249873,0.45862819088740114,0.44257822738376845,0.6,0.47
1,0.21716162016233867,0.19175348750828547,0.19175348750828547,0.23719902306977772,0.28215574640029994,0.27405645837110704,0.0,0.22
1,0.3876091230757772,0.19982976204934888,0.30037486397429236,0.3628740837362557,0.2829317657596286,0.36272404240994677,0.42857142857142855,0.31
1,0.6578197881141953,0.6929182397195193,0.6929182397195193,0.6098131694555277,0.5912267006893875,0.586883018320169,1.0,0.67
