bloc,Y,MCO,BIC,AIC,lasso,ridge,elastic,ridgeGS,arbre,foret,pcr,pls
2,47.6,57.49447256186055,0.0,0.0,59.33450213999704,57.69264737437704,57.75906881314319,57.671314870211035,57.9,59.46400000000003,57.621365865568926,57.48285455842828
3,56.2,62.899981289748666,0.0,0.0,61.650228865298644,62.907366305572936,62.704212651742715,62.907366305572936,43.955555555555556,56.93000000000001,61.23565022960817,62.709864586834264
8,61.8,85.98524745964204,0.0,0.0,84.48840151205349,85.73866664785436,85.45246185968617,85.75196501060489,78.76666666666667,74.67599999999997,87.65768985784271,85.98895645531415
5,50.8,58.45185393838142,0.0,0.0,59.349656471008316,59.523784119039874,59.701523563714815,59.58134968000873,51.67999999999999,60.58000000000001,60.46707983512884,59.23153521409479
0,59.8,56.59587095682939,0.0,0.0,56.93515031628202,57.06517938125386,57.198008489139966,57.00079643610577,71.00000000000001,59.512,55.95424629701823,56.7937919681023
9,53.4,61.57752292188412,0.0,0.0,60.37204115925699,61.162396816205586,60.81683538458536,61.162396816205586,58.08888888888888,58.21400000000001,60.777735552580566,61.270388324711334
3,49.4,54.15689637279388,0.0,0.0,54.3951543809455,54.653846764933654,54.85217542002972,54.653846764933654,85.3,60.678000000000004,53.20756056278697,54.21175915284866
5,82.8,68.2514047417283,0.0,0.0,71.62961340077193,69.92701791641268,70.61025628945443,70.01461383894315,80.88,79.48199999999999,69.27483017496462,69.49712346446015
7,76.8,89.2283198574676,0.0,0.0,89.6913572450597,89.78179926320853,89.81608556089485,89.70967646915247,94.96,90.23800000000003,89.29656516831714,89.29693428110764
6,92.6,87.7064139620121,0.0,0.0,87.28346620061578,87.5225255187805,86.94305041247978,87.4611519325275,82.4,83.54800000000003,88.79039322579808,87.94500149831906
0,90.6,102.91940842457599,0.0,0.0,102.2092737348562,102.50753430217382,102.52486233922217,102.5703654701775,101.24444444444445,95.86000000000001,103.82345528201675,103.1413650748282
1,104.6,105.59175099230124,0.0,0.0,105.50651061205483,105.23045609252216,105.12993660312713,105.18816975508251,111.3777777777778,100.75200000000002,105.48488624421367,105.64039094627714
